"","site","drate","spp","lev","weight"
"1","lowlandspfr",0.02,"RS",0.836124044858602,0.475
"2","lowlandspfr",0.02,"BF",0.771703110432934,0.475
"3","lowlandspfr",0.02,"RM",0.381375324024123,0.05
