"","site","drate","spp","lev","weight"
"1","clayplain",0.04,"SO",3.3238634678543,0.65
"2","clayplain",0.04,"WO",4.75038039966114,0.3
"3","clayplain",0.04,"BM",1.1354126906735,0.05
