"","site","drate","spp","lev","weight"
"1","mountaintill",0.02,"BM",5.60423823313438,0.35
"2","mountaintill",0.02,"YB",43.680563675174,0.35
"3","mountaintill",0.02,"RM",2.69043183834383,0.3
