"","site","drate","spp","lev","weight"
"1","lowlandspfr",0.06,"RS",0.0353496967834652,0.475
"2","lowlandspfr",0.06,"BF",0.0326261050957749,0.475
"3","lowlandspfr",0.06,"RM",0.017762947569435,0.05
