"spp","lev_mean_prop_crop_change","mortality_mean_prop_crop_change","price_mean_prop_crop_change","lev_mean_dbh_shift","mortality_mean_dbh_shift","price_mean_dbh_shift"
"BM",-0.00253563596491229,-0.0308845029239766,-0.0119243421052632,0,0.166666666666667,2.25
"PB",0.00466008771929824,-0.0271381578947369,-0.00452302631578948,-1.9375,3.25,-1.125
"RM",-0.000342653508771924,-0.0328947368421053,-0.0134320175438596,0.5625,0.583333333333333,2.6875
"SO",-0.00363212719298246,-0.0349963450292398,-0.016858552631579,0,0,0.4375
"WO",-0.00294682017543859,-0.0281432748538012,-0.00863486842105262,0,0,0
"WP",0.00740131578947368,0,0.00760690789473684,5.25,0,3.5
"YB",-0.00109649122807014,-0.0346003898635477,-0.00438596491228068,0,0,0
