"spp","site","n_trees","n_crop","prop_crop","max_crop_dbh","mean_crop_dbh","dbh_50pct","effective_dbh_threshold","scenario","factor_type","factor_value","base_dbh","base_prop_crop","base_mean_crop_dbh","dbh_shift","dbh_pct_change","prop_crop_change","mean_crop_dbh_shift"
"BM","mountaintill",912,188,0.206140350877193,17,12.5478723404255,10,10,"mortality_0.8","mortality",0.8,10,0.25219298245614,12.6608695652174,0,0,-0.0460526315789474,-0.11299722479186
"BM","richnhw",912,180,0.197368421052632,17,12.6722222222222,10,10,"mortality_0.8","mortality",0.8,10,0.239035087719298,12.8256880733945,0,0,-0.0416666666666667,-0.153465851172273
"PB","clayplain",912,130,0.142543859649123,17,12.3615384615385,13,13,"mortality_0.8","mortality",0.8,10,0.200657894736842,12.5464480874317,3,30,-0.0581140350877193,-0.184909625893232
"PB","granitictill",912,130,0.142543859649123,18,12.9769230769231,28,28,"mortality_0.8","mortality",0.8,11,0.191885964912281,13.0342857142857,17,154.545454545455,-0.0493421052631579,-0.0573626373626368
"PB","mountaintill",912,105,0.115131578947368,19,13.6380952380952,28,28,"mortality_0.8","mortality",0.8,28,0.161184210526316,13.5646258503401,0,0,-0.0460526315789474,0.073469387755102
"PB","richnhw",912,98,0.107456140350877,17,13.3877551020408,28,28,"mortality_0.8","mortality",0.8,28,0.152412280701754,13.568345323741,0,0,-0.0449561403508772,-0.180590221700189
"RM","clayplain",912,265,0.290570175438596,19,12.9471698113208,10,10,"mortality_0.8","mortality",0.8,10,0.341008771929825,13.1768488745981,0,0,-0.0504385964912281,-0.229679063277315
"RM","granitictill",912,252,0.276315789473684,19,13.2103174603175,10,10,"mortality_0.8","mortality",0.8,10,0.330043859649123,13.328903654485,0,0,-0.0537280701754386,-0.118586194167589
"RM","mountaintill",912,238,0.260964912280702,20,13.7436974789916,10,10,"mortality_0.8","mortality",0.8,10,0.316885964912281,13.8304498269896,0,0,-0.055921052631579,-0.0867523479980239
"RM","richnhw",912,234,0.256578947368421,19,13.6410256410256,11,11,"mortality_0.8","mortality",0.8,10,0.308114035087719,13.7580071174377,1,10,-0.0515350877192982,-0.116981476412082
"SO","clayplain",912,271,0.297149122807018,19,12.7343173431734,10,10,"mortality_0.8","mortality",0.8,10,0.350877192982456,13.06875,0,0,-0.0537280701754386,-0.334432656826568
"SO","granitictill",912,286,0.31359649122807,19,13.1118881118881,10,10,"mortality_0.8","mortality",0.8,10,0.361842105263158,13.3212121212121,0,0,-0.0482456140350878,-0.209324009324009
"SO","mountaintill",912,284,0.31140350877193,21,13.5316901408451,10,10,"mortality_0.8","mortality",0.8,10,0.359649122807018,13.6707317073171,0,0,-0.0482456140350877,-0.139041566472002
"SO","richnhw",912,284,0.31140350877193,20,13.4014084507042,10,10,"mortality_0.8","mortality",0.8,10,0.351973684210526,13.5015576323988,0,0,-0.0405701754385965,-0.100149181694528
"WO","clayplain",912,345,0.378289473684211,19,13.3942028985507,10,10,"mortality_0.8","mortality",0.8,10,0.425438596491228,13.7809278350515,0,0,-0.0471491228070176,-0.386724936500821
"WO","granitictill",912,373,0.408991228070175,21,13.7828418230563,10,10,"mortality_0.8","mortality",0.8,10,0.444078947368421,14.0148148148148,0,0,-0.0350877192982456,-0.231972991758514
"WO","mountaintill",912,364,0.399122807017544,21,13.9065934065934,10,10,"mortality_0.8","mortality",0.8,10,0.43859649122807,14.0725,0,0,-0.0394736842105263,-0.165906593406593
"WO","richnhw",912,358,0.392543859649123,20,13.8100558659218,10,10,"mortality_0.8","mortality",0.8,10,0.427631578947368,14,0,0,-0.0350877192982456,-0.189944134078212
"WP","clayplain",912,18,0.0197368421052632,11,10.1666666666667,28,28,"mortality_0.8","mortality",0.8,28,0.0197368421052632,10.1666666666667,0,0,0,0
"WP","granitictill",912,3,0.00328947368421053,10,10,28,28,"mortality_0.8","mortality",0.8,28,0.00328947368421053,10,0,0,0,0
"WP","mountaintill",912,0,0,NA,NA,NA,0,"mortality_0.8","mortality",0.8,0,0,NA,0,NA,0,NA
"WP","richnhw",912,0,0,NA,NA,NA,0,"mortality_0.8","mortality",0.8,0,0,NA,0,NA,0,NA
"YB","clayplain",342,214,0.625730994152047,23,15.4906542056075,10,10,"mortality_0.8","mortality",0.8,10,0.684210526315789,16.0598290598291,0,0,-0.0584795321637427,-0.569174854221583
"YB","granitictill",342,163,0.476608187134503,20,14.239263803681,10,10,"mortality_0.8","mortality",0.8,10,0.526315789473684,14.6388888888889,0,0,-0.0497076023391813,-0.399625085207907
"YB","mountaintill",342,169,0.494152046783626,21,14.4733727810651,10,10,"mortality_0.8","mortality",0.8,10,0.532163742690059,14.7252747252747,0,0,-0.0380116959064328,-0.251901944209635
"YB","richnhw",342,231,0.675438596491228,24,15.978354978355,10,10,"mortality_0.8","mortality",0.8,10,0.713450292397661,16.3401639344262,0,0,-0.0380116959064327,-0.361808956071251
"BM","clayplain",912,147,0.161184210526316,15,11.8707482993197,10,10,"mortality_1","mortality",1,10,0.256578947368421,12.3034188034188,0,0,-0.0953947368421053,-0.432670504099077
"BM","granitictill",912,123,0.134868421052632,16,11.8861788617886,10,10,"mortality_1","mortality",1,10,0.235745614035088,12.4511627906977,0,0,-0.100877192982456,-0.564983928909056
"BM","mountaintill",912,156,0.171052631578947,16,12.4294871794872,10,10,"mortality_1","mortality",1,10,0.25219298245614,12.6608695652174,0,0,-0.081140350877193,-0.231382385730212
"BM","richnhw",912,142,0.155701754385965,16,12.4788732394366,12,12,"mortality_1","mortality",1,10,0.239035087719298,12.8256880733945,2,20,-0.0833333333333333,-0.346814833957875
"PB","clayplain",912,82,0.0899122807017544,16,12.1829268292683,28,28,"mortality_1","mortality",1,10,0.200657894736842,12.5464480874317,18,180,-0.110745614035088,-0.3635212581634
"PB","granitictill",912,92,0.100877192982456,17,12.8695652173913,28,28,"mortality_1","mortality",1,11,0.191885964912281,13.0342857142857,17,154.545454545455,-0.0910087719298246,-0.164720496894409
"PB","mountaintill",912,81,0.0888157894736842,18,13.4938271604938,28,28,"mortality_1","mortality",1,28,0.161184210526316,13.5646258503401,0,0,-0.0723684210526316,-0.070798689846308
"PB","richnhw",912,74,0.081140350877193,17,13.3243243243243,28,28,"mortality_1","mortality",1,28,0.152412280701754,13.568345323741,0,0,-0.0712719298245614,-0.244020999416682
"RM","clayplain",912,214,0.234649122807018,18,12.6728971962617,10,10,"mortality_1","mortality",1,10,0.341008771929825,13.1768488745981,0,0,-0.106359649122807,-0.503951678336389
"RM","granitictill",912,208,0.228070175438596,19,13.0769230769231,10,10,"mortality_1","mortality",1,10,0.330043859649123,13.328903654485,0,0,-0.101973684210526,-0.251980577561973
"RM","mountaintill",912,201,0.220394736842105,20,13.7512437810945,13,13,"mortality_1","mortality",1,10,0.316885964912281,13.8304498269896,3,30,-0.0964912280701755,-0.0792060458950932
"RM","richnhw",912,196,0.214912280701754,19,13.5612244897959,13,13,"mortality_1","mortality",1,10,0.308114035087719,13.7580071174377,3,30,-0.0932017543859649,-0.196782627641804
"SO","clayplain",912,226,0.24780701754386,19,12.5221238938053,10,10,"mortality_1","mortality",1,10,0.350877192982456,13.06875,0,0,-0.103070175438596,-0.54662610619469
"SO","granitictill",912,242,0.265350877192982,19,12.9380165289256,10,10,"mortality_1","mortality",1,10,0.361842105263158,13.3212121212121,0,0,-0.0964912280701755,-0.383195592286501
"SO","mountaintill",912,235,0.257675438596491,20,13.4297872340426,10,10,"mortality_1","mortality",1,10,0.359649122807018,13.6707317073171,0,0,-0.101973684210526,-0.240944473274519
"SO","richnhw",912,241,0.264254385964912,20,13.2821576763485,10,10,"mortality_1","mortality",1,10,0.351973684210526,13.5015576323988,0,0,-0.087719298245614,-0.219399956050205
"WO","clayplain",912,310,0.339912280701754,19,13.1064516129032,10,10,"mortality_1","mortality",1,10,0.425438596491228,13.7809278350515,0,0,-0.0855263157894737,-0.67447622214832
"WO","granitictill",912,336,0.368421052631579,21,13.5535714285714,10,10,"mortality_1","mortality",1,10,0.444078947368421,14.0148148148148,0,0,-0.0756578947368421,-0.461243386243385
"WO","mountaintill",912,332,0.364035087719298,21,13.7951807228916,10,10,"mortality_1","mortality",1,10,0.43859649122807,14.0725,0,0,-0.0745614035087719,-0.277319277108434
"WO","richnhw",912,323,0.354166666666667,19,13.5851393188854,10,10,"mortality_1","mortality",1,10,0.427631578947368,14,0,0,-0.0734649122807017,-0.414860681114551
"WP","clayplain",912,9,0.00986842105263158,11,10.3333333333333,28,28,"mortality_1","mortality",1,28,0.0197368421052632,10.1666666666667,0,0,-0.00986842105263158,0.166666666666668
"WP","granitictill",912,0,0,NA,NA,NA,0,"mortality_1","mortality",1,28,0.00328947368421053,10,-28,-100,-0.00328947368421053,NA
"WP","mountaintill",912,0,0,NA,NA,NA,0,"mortality_1","mortality",1,0,0,NA,0,NA,0,NA
"WP","richnhw",912,0,0,NA,NA,NA,0,"mortality_1","mortality",1,0,0,NA,0,NA,0,NA
"YB","clayplain",342,191,0.558479532163743,22,14.9528795811518,10,10,"mortality_1","mortality",1,10,0.684210526315789,16.0598290598291,0,0,-0.125730994152047,-1.10694947867723
"YB","granitictill",342,145,0.423976608187135,20,13.8620689655172,10,10,"mortality_1","mortality",1,10,0.526315789473684,14.6388888888889,0,0,-0.10233918128655,-0.776819923371647
"YB","mountaintill",342,151,0.441520467836257,20,14.1920529801325,10,10,"mortality_1","mortality",1,10,0.532163742690059,14.7252747252747,0,0,-0.0906432748538012,-0.533221745142274
"YB","richnhw",342,214,0.625730994152047,24,15.6028037383178,10,10,"mortality_1","mortality",1,10,0.713450292397661,16.3401639344262,0,0,-0.087719298245614,-0.737360196108472
"BM","clayplain",912,243,0.266447368421053,17,12.3004115226337,10,10,"lev_0.5","lev",0.5,10,0.256578947368421,12.3034188034188,0,0,0.00986842105263158,-0.00300728078505941
"BM","granitictill",912,242,0.265350877192982,18,12.4214876033058,10,10,"lev_0.5","lev",0.5,10,0.235745614035088,12.4511627906977,0,0,0.0296052631578947,-0.0296751873918897
"BM","mountaintill",912,259,0.283991228070175,18,12.6370656370656,10,10,"lev_0.5","lev",0.5,10,0.25219298245614,12.6608695652174,0,0,0.0317982456140351,-0.0238039281517537
"BM","richnhw",912,261,0.286184210526316,18,12.7164750957854,10,10,"lev_0.5","lev",0.5,10,0.239035087719298,12.8256880733945,0,0,0.0471491228070175,-0.109212977609054
"PB","clayplain",912,223,0.244517543859649,17,12.4843049327354,10,10,"lev_0.5","lev",0.5,10,0.200657894736842,12.5464480874317,0,0,0.043859649122807,-0.0621431546962672
"PB","granitictill",912,228,0.25,19,12.8421052631579,10,10,"lev_0.5","lev",0.5,11,0.191885964912281,13.0342857142857,-1,-9.09090909090909,0.0581140350877193,-0.192180451127818
"PB","mountaintill",912,218,0.239035087719298,19,13.1605504587156,10,10,"lev_0.5","lev",0.5,28,0.161184210526316,13.5646258503401,-18,-64.2857142857143,0.0778508771929824,-0.40407539162454
"PB","richnhw",912,223,0.244517543859649,18,13.0448430493274,10,10,"lev_0.5","lev",0.5,28,0.152412280701754,13.568345323741,-18,-64.2857142857143,0.0921052631578947,-0.523502274413651
"RM","clayplain",912,334,0.366228070175439,19,13.2365269461078,10,10,"lev_0.5","lev",0.5,10,0.341008771929825,13.1768488745981,0,0,0.025219298245614,0.0596780715097136
"RM","granitictill",912,333,0.365131578947368,19,13.3333333333333,10,10,"lev_0.5","lev",0.5,10,0.330043859649123,13.328903654485,0,0,0.0350877192982456,0.00442967884828427
"RM","mountaintill",912,349,0.382675438596491,20,13.6704871060172,10,10,"lev_0.5","lev",0.5,10,0.316885964912281,13.8304498269896,0,0,0.0657894736842105,-0.159962720972427
"RM","richnhw",912,353,0.387061403508772,20,13.657223796034,10,10,"lev_0.5","lev",0.5,10,0.308114035087719,13.7580071174377,0,0,0.0789473684210527,-0.100783321403728
"SO","clayplain",912,329,0.360745614035088,20,13.1276595744681,10,10,"lev_0.5","lev",0.5,10,0.350877192982456,13.06875,0,0,0.00986842105263158,0.0589095744680854
"SO","granitictill",912,346,0.379385964912281,20,13.3872832369942,10,10,"lev_0.5","lev",0.5,10,0.361842105263158,13.3212121212121,0,0,0.0175438596491228,0.0660711157820995
"SO","mountaintill",912,361,0.395833333333333,21,13.6343490304709,10,10,"lev_0.5","lev",0.5,10,0.359649122807018,13.6707317073171,0,0,0.0361842105263158,-0.0363826768461575
"SO","richnhw",912,358,0.392543859649123,20,13.4664804469274,10,10,"lev_0.5","lev",0.5,10,0.351973684210526,13.5015576323988,0,0,0.0405701754385965,-0.0350771854713798
"WO","clayplain",912,396,0.434210526315789,20,13.8409090909091,10,10,"lev_0.5","lev",0.5,10,0.425438596491228,13.7809278350515,0,0,0.00877192982456143,0.0599812558575454
"WO","granitictill",912,415,0.455043859649123,21,14.0578313253012,10,10,"lev_0.5","lev",0.5,10,0.444078947368421,14.0148148148148,0,0,0.0109649122807017,0.0430165104863907
"WO","mountaintill",912,416,0.456140350877193,21,14.0913461538462,10,10,"lev_0.5","lev",0.5,10,0.43859649122807,14.0725,0,0,0.0175438596491228,0.0188461538461535
"WO","richnhw",912,419,0.459429824561404,21,14.109785202864,10,10,"lev_0.5","lev",0.5,10,0.427631578947368,14,0,0,0.0317982456140351,0.109785202863963
"WP","clayplain",912,21,0.0230263157894737,11,10.1428571428571,28,28,"lev_0.5","lev",0.5,28,0.0197368421052632,10.1666666666667,0,0,0.00328947368421053,-0.0238095238095237
"WP","granitictill",912,36,0.0394736842105263,12,10.8333333333333,28,28,"lev_0.5","lev",0.5,28,0.00328947368421053,10,0,0,0.0361842105263158,0.833333333333334
"WP","mountaintill",912,30,0.0328947368421053,12,10.7,28,28,"lev_0.5","lev",0.5,0,0,NA,28,NA,0.0328947368421053,NA
"WP","richnhw",912,21,0.0230263157894737,12,10.4285714285714,28,28,"lev_0.5","lev",0.5,0,0,NA,28,NA,0.0230263157894737,NA
"YB","clayplain",342,235,0.687134502923977,24,16.0851063829787,10,10,"lev_0.5","lev",0.5,10,0.684210526315789,16.0598290598291,0,0,0.00292397660818711,0.0252773231496626
"YB","granitictill",342,181,0.529239766081871,21,14.646408839779,10,10,"lev_0.5","lev",0.5,10,0.526315789473684,14.6388888888889,0,0,0.00292397660818722,0.00751995089011537
"YB","mountaintill",342,187,0.546783625730994,21,14.8181818181818,10,10,"lev_0.5","lev",0.5,10,0.532163742690059,14.7252747252747,0,0,0.0146198830409356,0.0929070929070939
"YB","richnhw",342,246,0.719298245614035,25,16.3943089430894,10,10,"lev_0.5","lev",0.5,10,0.713450292397661,16.3401639344262,0,0,0.00584795321637432,0.0541450086632018
"BM","clayplain",912,239,0.262061403508772,17,12.3054393305439,10,10,"lev_0.75","lev",0.75,10,0.256578947368421,12.3034188034188,0,0,0.00548245614035087,0.00202052712512923
"BM","granitictill",912,227,0.24890350877193,18,12.4625550660793,10,10,"lev_0.75","lev",0.75,10,0.235745614035088,12.4511627906977,0,0,0.0131578947368421,0.0113922753816205
"BM","mountaintill",912,243,0.266447368421053,17,12.6666666666667,10,10,"lev_0.75","lev",0.75,10,0.25219298245614,12.6608695652174,0,0,0.0142543859649123,0.00579710144927503
"BM","richnhw",912,246,0.269736842105263,17,12.739837398374,10,10,"lev_0.75","lev",0.75,10,0.239035087719298,12.8256880733945,0,0,0.0307017543859649,-0.0858506750205112
"PB","clayplain",912,207,0.226973684210526,17,12.5217391304348,10,10,"lev_0.75","lev",0.75,10,0.200657894736842,12.5464480874317,0,0,0.0263157894736842,-0.0247089569969106
"PB","granitictill",912,199,0.218201754385965,19,12.8994974874372,10,10,"lev_0.75","lev",0.75,11,0.191885964912281,13.0342857142857,-1,-9.09090909090909,0.0263157894736842,-0.134788226848528
"PB","mountaintill",912,182,0.199561403508772,19,13.3351648351648,13,13,"lev_0.75","lev",0.75,28,0.161184210526316,13.5646258503401,-15,-53.5714285714286,0.0383771929824561,-0.2294610151753
"PB","richnhw",912,177,0.194078947368421,18,13.271186440678,13,13,"lev_0.75","lev",0.75,28,0.152412280701754,13.568345323741,-15,-53.5714285714286,0.0416666666666667,-0.297158883063041
"RM","clayplain",912,324,0.355263157894737,19,13.2067901234568,10,10,"lev_0.75","lev",0.75,10,0.341008771929825,13.1768488745981,0,0,0.0142543859649123,0.0299412488587194
"RM","granitictill",912,319,0.349780701754386,19,13.3542319749216,10,10,"lev_0.75","lev",0.75,10,0.330043859649123,13.328903654485,0,0,0.0197368421052632,0.0253283204365804
"RM","mountaintill",912,324,0.355263157894737,20,13.6975308641975,10,10,"lev_0.75","lev",0.75,10,0.316885964912281,13.8304498269896,0,0,0.0383771929824561,-0.132918962792088
"RM","richnhw",912,325,0.356359649122807,20,13.7261538461538,10,10,"lev_0.75","lev",0.75,10,0.308114035087719,13.7580071174377,0,0,0.0482456140350878,-0.031853271283877
"SO","clayplain",912,324,0.355263157894737,20,13.1018518518519,10,10,"lev_0.75","lev",0.75,10,0.350877192982456,13.06875,0,0,0.00438596491228072,0.0331018518518515
"SO","granitictill",912,340,0.37280701754386,20,13.35,10,10,"lev_0.75","lev",0.75,10,0.361842105263158,13.3212121212121,0,0,0.0109649122807017,0.0287878787878793
"SO","mountaintill",912,348,0.381578947368421,21,13.6063218390805,10,10,"lev_0.75","lev",0.75,10,0.359649122807018,13.6707317073171,0,0,0.0219298245614035,-0.0644098682366128
"SO","richnhw",912,349,0.382675438596491,20,13.4699140401146,10,10,"lev_0.75","lev",0.75,10,0.351973684210526,13.5015576323988,0,0,0.0307017543859649,-0.0316435922841407
"WO","clayplain",912,391,0.428728070175439,20,13.7979539641944,10,10,"lev_0.75","lev",0.75,10,0.425438596491228,13.7809278350515,0,0,0.00328947368421051,0.0170261291428275
"WO","granitictill",912,411,0.450657894736842,21,14.0389294403893,10,10,"lev_0.75","lev",0.75,10,0.444078947368421,14.0148148148148,0,0,0.00657894736842102,0.0241146255744802
"WO","mountaintill",912,407,0.446271929824561,21,14.0810810810811,10,10,"lev_0.75","lev",0.75,10,0.43859649122807,14.0725,0,0,0.00767543859649128,0.00858108108108091
"WO","richnhw",912,403,0.441885964912281,20,14.0272952853598,10,10,"lev_0.75","lev",0.75,10,0.427631578947368,14,0,0,0.0142543859649123,0.0272952853598021
"WP","clayplain",912,18,0.0197368421052632,11,10.1666666666667,28,28,"lev_0.75","lev",0.75,28,0.0197368421052632,10.1666666666667,0,0,0,0
"WP","granitictill",912,12,0.0131578947368421,11,10.25,28,28,"lev_0.75","lev",0.75,28,0.00328947368421053,10,0,0,0.00986842105263158,0.25
"WP","mountaintill",912,12,0.0131578947368421,11,10.5,28,28,"lev_0.75","lev",0.75,0,0,NA,28,NA,0.0131578947368421,NA
"WP","richnhw",912,9,0.00986842105263158,11,10.3333333333333,28,28,"lev_0.75","lev",0.75,0,0,NA,28,NA,0.00986842105263158,NA
"YB","clayplain",342,234,0.684210526315789,24,16.0598290598291,10,10,"lev_0.75","lev",0.75,10,0.684210526315789,16.0598290598291,0,0,0,0
"YB","granitictill",342,181,0.529239766081871,21,14.646408839779,10,10,"lev_0.75","lev",0.75,10,0.526315789473684,14.6388888888889,0,0,0.00292397660818722,0.00751995089011537
"YB","mountaintill",342,182,0.532163742690059,21,14.7252747252747,10,10,"lev_0.75","lev",0.75,10,0.532163742690059,14.7252747252747,0,0,0,0
"YB","richnhw",342,245,0.716374269005848,25,16.3673469387755,10,10,"lev_0.75","lev",0.75,10,0.713450292397661,16.3401639344262,0,0,0.00292397660818722,0.0271830043492827
"BM","clayplain",912,226,0.24780701754386,17,12.3274336283186,10,10,"lev_1.25","lev",1.25,10,0.256578947368421,12.3034188034188,0,0,-0.00877192982456143,0.0240148248997798
"BM","granitictill",912,202,0.221491228070175,18,12.4257425742574,10,10,"lev_1.25","lev",1.25,10,0.235745614035088,12.4511627906977,0,0,-0.0142543859649123,-0.0254202164402493
"BM","mountaintill",912,207,0.226973684210526,17,12.7246376811594,10,10,"lev_1.25","lev",1.25,10,0.25219298245614,12.6608695652174,0,0,-0.025219298245614,0.0637681159420289
"BM","richnhw",912,195,0.213815789473684,17,12.9230769230769,10,10,"lev_1.25","lev",1.25,10,0.239035087719298,12.8256880733945,0,0,-0.025219298245614,0.097388849682428
"PB","clayplain",912,162,0.177631578947368,17,12.5802469135802,10,10,"lev_1.25","lev",1.25,10,0.200657894736842,12.5464480874317,0,0,-0.0230263157894737,0.0337988261485531
"PB","granitictill",912,151,0.165570175438596,19,13.2119205298013,28,28,"lev_1.25","lev",1.25,11,0.191885964912281,13.0342857142857,17,154.545454545455,-0.0263157894736842,0.17763481551561
"PB","mountaintill",912,119,0.130482456140351,19,13.8991596638655,28,28,"lev_1.25","lev",1.25,28,0.161184210526316,13.5646258503401,0,0,-0.0307017543859649,0.334533813525411
"PB","richnhw",912,104,0.114035087719298,17,13.6153846153846,28,28,"lev_1.25","lev",1.25,28,0.152412280701754,13.568345323741,0,0,-0.0383771929824561,0.0470392916436086
"RM","clayplain",912,302,0.331140350877193,19,13.1953642384106,10,10,"lev_1.25","lev",1.25,10,0.341008771929825,13.1768488745981,0,0,-0.00986842105263158,0.0185153638125257
"RM","granitictill",912,275,0.301535087719298,19,13.3927272727273,10,10,"lev_1.25","lev",1.25,10,0.330043859649123,13.328903654485,0,0,-0.0285087719298245,0.0638236182422229
"RM","mountaintill",912,256,0.280701754385965,20,13.9765625,10,10,"lev_1.25","lev",1.25,10,0.316885964912281,13.8304498269896,0,0,-0.0361842105263158,0.14611267301038
"RM","richnhw",912,243,0.266447368421053,19,13.9135802469136,12,12,"lev_1.25","lev",1.25,10,0.308114035087719,13.7580071174377,2,20,-0.0416666666666666,0.155573129475858
"SO","clayplain",912,313,0.343201754385965,20,13.0575079872204,10,10,"lev_1.25","lev",1.25,10,0.350877192982456,13.06875,0,0,-0.00767543859649122,-0.0112420127795527
