"spp","n","simp_accuracy","simp_precision","simp_recall","simp_f1","simp_fpr","simp_fnr","tree_accuracy","tree_precision","tree_recall","tree_f1","tree_fpr","tree_fnr","agreement"
"BM",18240,0.951864035087719,0.859011627906977,0.751271186440678,0.801537070524412,0.0183249370277078,0.248728813559322,0.963103070175439,0.84669132757912,0.872881355932203,0.85958689755894,0.0234886649874055,0.127118644067797,0.972532894736842
"PB",18240,0.945394736842105,0.568421052631579,0.790243902439024,0.661224489795918,0.0433862433862434,0.209756097560976,0.960252192982456,0.730593607305936,0.650406504065041,0.688172043010753,0.0173427395649618,0.349593495934959,0.961896929824561
"RM",18240,0.904660087719298,0.69906976744186,0.871051869023471,0.775641852664172,0.0874974643315978,0.128948130976529,0.937719298245614,0.861154446177847,0.799768183135323,0.829326923076923,0.0300899317059977,0.200231816864677,0.922203947368421
"SO",18240,0.776699561403509,0.498870765370138,0.980517879161529,0.661288981288981,0.281565033486077,0.019482120838471,0.943804824561403,0.884322678843227,0.859679408138101,0.871826935100663,0.0321466337680649,0.140320591861899,0.772258771929825
"WO",18240,0.793804824561404,0.607236842105263,0.968689872310652,0.746512098133046,0.286033697995688,0.0313101276893476,0.937445175438597,0.925753628582062,0.870211649466503,0.897123794067262,0.0318613750698714,0.129788350533497,0.778508771929825
"YB",6840,0.918713450292398,0.855774985038899,0.974778459441036,0.911408540471638,0.123399897593446,0.0252215405589639,0.939912280701754,0.915103652517275,0.947852760736196,0.931190356604721,0.0660522273425499,0.0521472392638037,0.895175438596491
